key,f1_score,accuracy,recall,precision,model,params
uah,0.750378634529194,0.7551158693589918,0.7551158693589918,0.7759800899774051,SVC,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}"
sumo_uah_fixed_100,0.7158674940556249,0.7192031440574603,0.7192031440574603,0.7299370584172683,SVC,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}"
sumo_uah_llm_100,0.710139703195026,0.712427158151511,0.712427158151511,0.7192979948763835,SVC,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}"
sumo_uah_fixed_20,0.7087823456745189,0.712427158151511,0.712427158151511,0.7235537490697844,SVC,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}"
sumo_uah_llm_200,0.7087121973722031,0.713782355332701,0.713782355332701,0.7296975144879475,SVC,"{'C': 0.5, 'gamma': 0.001, 'kernel': 'rbf'}"
sumo_uah_llm_20,0.7003649127038312,0.7003659032389212,0.7003659032389212,0.7003697104110761,SVC,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}"
sumo_uah_fixed_200,0.6992621236762168,0.7079550074535845,0.7079550074535845,0.7350296882093595,SVC,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}"
carla_uah_fixed_200,0.6614890985565772,0.6664859737091747,0.6664859737091747,0.6768626477872189,XGBClassifier,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}"
carla_uah_fixed_100,0.6518911695617088,0.6552378371052988,0.6552378371052988,0.6613918505305985,XGBClassifier,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.7}"
carla_uah_fixed_20,0.6380347358642258,0.6393989700501423,0.6393989700501423,0.6416624644357074,RFClassifier,"{'max_depth': 20, 'n_estimators': 20}"
carla_uah_llm_100,0.6307425496066555,0.6321994850250712,0.6321994850250712,0.634286601153435,XGBClassifier,"{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.7}"
carla_uah_llm_20,0.6281342397051283,0.6286929123187424,0.6286929123187424,0.6294863183629837,RFClassifier,"{'max_depth': 20, 'n_estimators': 50}"
carla_uah_llm_200,0.6078390793132338,0.6087206938609568,0.6087206938609568,0.6098433122072501,RandomForestClassifier,"{'max_depth': 50, 'n_estimators': 20}"
sumo_llm,0.5748710014522482,0.593305325924922,0.593305325924922,0.6127614348449679,XGBClassifier,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 200}"
carla_llm,0.48447039145090603,0.5153984279712698,0.5153984279712698,0.524234942317108,RFClassifier,"{'max_depth': None, 'n_estimators': 500}"
carla_fixed,0.44112977004262865,0.5047601300989294,0.5047601300989294,0.4892711532058538,RFClassifier,"{'max_depth': 10, 'n_estimators': 20}"
sumo_fixed,0.33400837045210485,0.5002032795771785,0.5002032795771785,0.37494930422491185,RFClassifier,"{'max_depth': 20, 'n_estimators': 20}"
